datetime,SYM_H
2009-07-18 00:00:00,0
2009-07-18 00:05:00,0
2009-07-18 00:10:00,0
2009-07-18 00:15:00,0
2009-07-18 00:20:00,0
2009-07-18 00:25:00,0
2009-07-18 00:30:00,0
2009-07-18 00:35:00,-1
2009-07-18 00:40:00,-1
2009-07-18 00:45:00,-1
2009-07-18 00:50:00,-1
2009-07-18 00:55:00,-1
2009-07-18 01:00:00,-2
2009-07-18 01:05:00,-2
2009-07-18 01:10:00,-2
2009-07-18 01:15:00,-2
2009-07-18 01:20:00,-3
2009-07-18 01:25:00,-3
2009-07-18 01:30:00,-3
2009-07-18 01:35:00,-3
2009-07-18 01:40:00,-4
2009-07-18 01:45:00,-4
2009-07-18 01:50:00,-4
2009-07-18 01:55:00,-4
2009-07-18 02:00:00,-4
2009-07-18 02:05:00,-4
2009-07-18 02:10:00,-4
2009-07-18 02:15:00,-4
2009-07-18 02:20:00,-4
2009-07-18 02:25:00,-3
2009-07-18 02:30:00,-3
2009-07-18 02:35:00,-3
2009-07-18 02:40:00,-3
2009-07-18 02:45:00,-3
2009-07-18 02:50:00,-2
2009-07-18 02:55:00,-1
2009-07-18 03:00:00,-1
2009-07-18 03:05:00,0
2009-07-18 03:10:00,0
2009-07-18 03:15:00,1
2009-07-18 03:20:00,1
2009-07-18 03:25:00,2
2009-07-18 03:30:00,2
2009-07-18 03:35:00,2
2009-07-18 03:40:00,2
2009-07-18 03:45:00,2
2009-07-18 03:50:00,2
2009-07-18 03:55:00,2
2009-07-18 04:00:00,1
2009-07-18 04:05:00,1
2009-07-18 04:10:00,2
2009-07-18 04:15:00,3
2009-07-18 04:20:00,3
2009-07-18 04:25:00,3
2009-07-18 04:30:00,4
2009-07-18 04:35:00,4
2009-07-18 04:40:00,4
2009-07-18 04:45:00,4
2009-07-18 04:50:00,4
2009-07-18 04:55:00,5
2009-07-18 05:00:00,5
2009-07-18 05:05:00,5
2009-07-18 05:10:00,6
2009-07-18 05:15:00,5
2009-07-18 05:20:00,5
2009-07-18 05:25:00,5
2009-07-18 05:30:00,6
2009-07-18 05:35:00,6
2009-07-18 05:40:00,6
2009-07-18 05:45:00,6
2009-07-18 05:50:00,6
2009-07-18 05:55:00,7
2009-07-18 06:00:00,7
2009-07-18 06:05:00,6
2009-07-18 06:10:00,6
2009-07-18 06:15:00,6
2009-07-18 06:20:00,6
2009-07-18 06:25:00,6
2009-07-18 06:30:00,6
2009-07-18 06:35:00,7
2009-07-18 06:40:00,7
2009-07-18 06:45:00,6
2009-07-18 06:50:00,6
2009-07-18 06:55:00,7
2009-07-18 07:00:00,7
2009-07-18 07:05:00,6
2009-07-18 07:10:00,6
2009-07-18 07:15:00,6
2009-07-18 07:20:00,6
2009-07-18 07:25:00,7
2009-07-18 07:30:00,7
2009-07-18 07:35:00,6
2009-07-18 07:40:00,6
2009-07-18 07:45:00,6
2009-07-18 07:50:00,6
2009-07-18 07:55:00,6
2009-07-18 08:00:00,7
2009-07-18 08:05:00,5
2009-07-18 08:10:00,5
2009-07-18 08:15:00,6
2009-07-18 08:20:00,7
2009-07-18 08:25:00,6
2009-07-18 08:30:00,6
2009-07-18 08:35:00,6
2009-07-18 08:40:00,6
2009-07-18 08:45:00,6
2009-07-18 08:50:00,7
2009-07-18 08:55:00,7
2009-07-18 09:00:00,7
2009-07-18 09:05:00,7
2009-07-18 09:10:00,6
2009-07-18 09:15:00,6
2009-07-18 09:20:00,6
2009-07-18 09:25:00,6
2009-07-18 09:30:00,6
2009-07-18 09:35:00,6
2009-07-18 09:40:00,6
2009-07-18 09:45:00,6
2009-07-18 09:50:00,5
2009-07-18 09:55:00,6
2009-07-18 10:00:00,6
2009-07-18 10:05:00,6
2009-07-18 10:10:00,6
2009-07-18 10:15:00,5
2009-07-18 10:20:00,5
2009-07-18 10:25:00,5
2009-07-18 10:30:00,6
2009-07-18 10:35:00,7
2009-07-18 10:40:00,7
2009-07-18 10:45:00,7
2009-07-18 10:50:00,7
2009-07-18 10:55:00,7
2009-07-18 11:00:00,7
2009-07-18 11:05:00,6
2009-07-18 11:10:00,6
2009-07-18 11:15:00,6
2009-07-18 11:20:00,6
2009-07-18 11:25:00,6
2009-07-18 11:30:00,6
2009-07-18 11:35:00,5
2009-07-18 11:40:00,5
2009-07-18 11:45:00,5
2009-07-18 11:50:00,5
2009-07-18 11:55:00,5
2009-07-18 12:00:00,5
2009-07-18 12:05:00,4
2009-07-18 12:10:00,5
2009-07-18 12:15:00,5
2009-07-18 12:20:00,4
2009-07-18 12:25:00,5
2009-07-18 12:30:00,5
2009-07-18 12:35:00,5
2009-07-18 12:40:00,5
2009-07-18 12:45:00,5
2009-07-18 12:50:00,6
2009-07-18 12:55:00,5
2009-07-18 13:00:00,5
2009-07-18 13:05:00,5
2009-07-18 13:10:00,5
2009-07-18 13:15:00,5
2009-07-18 13:20:00,5
2009-07-18 13:25:00,5
2009-07-18 13:30:00,4
2009-07-18 13:35:00,5
2009-07-18 13:40:00,4
2009-07-18 13:45:00,4
2009-07-18 13:50:00,4
2009-07-18 13:55:00,5
2009-07-18 14:00:00,6
2009-07-18 14:05:00,7
2009-07-18 14:10:00,7
2009-07-18 14:15:00,7
2009-07-18 14:20:00,7
2009-07-18 14:25:00,8
2009-07-18 14:30:00,8
2009-07-18 14:35:00,7
